SECCION,votos,lista,participacion
1188,175,270,0.6481481481481481
1189,273,466,0.5858369098712446
119,653,1664,0.39242788461538464
1191,194,359,0.5403899721448467
1195,163,339,0.4808259587020649
1196,293,569,0.5149384885764499
12,0,423,0
120,924,2211,0.417910447761194
1201,345,600,0.575
1204,274,440,0.6227272727272727
1205,282,457,0.6170678336980306
1206,215,369,0.5826558265582655
1207,233,389,0.5989717223650386
1208,257,494,0.520242914979757
1209,274,465,0.589247311827957
121,944,2349,0.4018731375053214
1210,0,406,0
1211,294,484,0.6074380165289256
1212,198,297,0.6666666666666666
1213,202,334,0.6047904191616766
1214,161,248,0.6491935483870968
1215,172,298,0.5771812080536913
1216,222,318,0.6981132075471698
1217,177,273,0.6483516483516484
1218,320,557,0.5745062836624776
1219,359,593,0.6053962900505903
122,850,3077,0.27624309392265195
1220,234,765,0.3058823529411765
1221,399,561,0.7112299465240641
1222,408,704,0.5795454545454546
1223,420,751,0.559254327563249
1224,303,536,0.5652985074626866
1225,561,988,0.5678137651821862
1226,251,394,0.6370558375634517
1227,1047,827,1.2660217654171706
1228,456,971,0.46961894953656025
1229,232,507,0.45759368836291914
123,1196,2762,0.4330195510499638
1230,550,1102,0.49909255898366606
1231,503,1034,0.4864603481624758
1232,536,946,0.5665961945031712
1233,559,917,0.6095965103598692
1234,NA,NA,NA
1235,621,1332,0.46621621621621623
1236,546,1075,0.5079069767441861
1237,563,1220,0.46147540983606555
1238,558,1115,0.5004484304932736
1239,305,637,0.478806907378336
1240,390,772,0.5051813471502591
1241,251,457,0.5492341356673961
1242,272,470,0.5787234042553191
1243,531,863,0.6152954808806489
1244,0,670,0
1245,152,226,0.672566371681416
1246,389,655,0.5938931297709924
1247,1394,2002,0.6963036963036963
1248,360,646,0.5572755417956656
1249,230,327,0.70336391437308865
125,545,2241,0.24319500223114682
1250,417,603,0.6915422885572139
1251,290,494,0.5870445344129555
1252,291,484,0.6012396694214877
1253,323,552,0.5851449275362319
1254,207,306,0.6764705882352942
1255,304,522,0.5823754789272031
1256,224,353,0.6345609065155807
1257,300,486,0.6172839506172839
1258,352,567,0.6208112874779541
1259,240,396,0.6060606060606061
126,526,1298,0.4052388289676425
1260,215,341,0.6304985337243402
1261,203,360,0.5638888888888889
1262,108,190,0.5684210526315789
1263,242,406,0.5960591133004927
1264,290,467,0.6209850107066381
1266,203,312,0.6506410256410257
1267,361,558,0.6469534050179212
1268,155,264,0.5871212121212122
1269,176,315,0.5587301587301587
127,557,1365,0.40805860805860805
1270,180,290,0.6206896551724138
1271,190,284,0.6690140845070423
1272,174,261,0.6666666666666666
1273,165,291,0.5670103092783505
1274,344,519,0.6628131021194605
1275,359,557,0.644524236983842
1276,185,290,0.6379310344827587
1277,256,412,0.6213592233009708
1278,185,297,0.622895622895623
1279,233,380,0.6131578947368421
128,313,1242,0.25201288244766507
1280,194,318,0.610062893081761
1281,324,482,0.6721991701244814
1282,398,589,0.6757215619694398
1284,294,474,0.620253164556962
1285,294,944,0.3114406779661017
1286,513,830,0.6180722891566265
1287,155,229,0.6768558951965066
1288,232,419,0.5536992840095465
1289,395,662,0.5966767371601208
1290,236,366,0.644808743169399
1291,436,734,0.5940054495912807
1292,394,1376,0.2863372093023256
1293,362,555,0.6522522522522523
1294,146,734,0.1989100817438692
1295,303,412,0.7354368932038835
1296,505,752,0.6715425531914894
1297,341,457,0.7461706783369803
1298,368,500,0.736
1299,820,1182,0.6937394247038917
13,0,540,0
1300,312,519,0.6011560693641619
1301,422,686,0.6151603498542274
1302,260,492,0.5284552845528455
1303,206,347,0.5936599423631124
1304,626,882,0.7097505668934241
1305,550,841,0.6539833531510107
1306,0,504,0
1307,1269,1832,0.6926855895196506
1308,320,541,0.5914972273567468
1309,1248,1785,0.6991596638655462
131,NA,NA,NA
1310,980,1414,0.693069306930693
1311,835,1197,0.697577276524645
1312,1037,1363,0.7608217168011738
1313,849,1573,0.5397329942784488
1314,873,1280,0.68203125
1315,992,1359,0.7299484915378955
1316,871,1385,0.6288808664259928
1317,355,621,0.571658615136876
1318,899,1176,0.7644557823129252
1319,442,705,0.6269503546099291
132,2001,3142,0.6368555060471037
1320,331,489,0.6768916155419223
1321,326,535,0.6093457943925233
1322,202,353,0.5722379603399433
1323,203,307,0.6612377850162866
1324,277,413,0.6707021791767555
1325,511,695,0.7352517985611511
1326,1109,1481,0.7488183659689399
1327,0,652,0
1328,366,552,0.6630434782608695
1329,861,1249,0.6893514811849479
133,1192,1905,0.6257217847769029
1330,947,1238,0.7649434571890146
1331,1232,1622,0.7595561035758323
1332,1637,2065,0.7927360774818402
1333,1147,1471,0.7797416723317471
1334,1227,1613,0.7606943583384997
1335,937,1320,0.7098484848484848
1336,1151,1655,0.6954682779456194
1337,765,1077,0.7103064066852368
1338,751,1106,0.6790235081374322
1339,459,739,0.6211096075778079
134,749,1310,0.5717557251908397
1340,199,379,0.525065963060686
1341,311,464,0.6702586206896551
1342,391,669,0.5844544095665172
1343,246,826,0.29782082324455206
1344,432,623,0.6934189406099518
1345,490,641,0.7644305772230889
1346,942,1377,0.6840958605664488
1347,627,1010,0.6207920792079208
1348,502,764,0.6570680628272252
1349,472,657,0.7184170471841704
135,NA,NA,NA
1350,1141,1531,0.7452645329849772
1351,1184,1583,0.7479469361970941
1352,1217,1664,0.7313701923076923
1353,737,929,0.7933261571582346
1354,665,877,0.758266818700114
1355,1693,2001,0.8460769615192404
1356,573,2120,0.27028301886792455
1357,807,1595,0.5059561128526646
1358,977,2078,0.4701636188642926
1359,957,1962,0.4877675840978593
136,327,1365,0.23956043956043957
1360,1257,1938,0.6486068111455109
1361,586,800,0.7325
1362,563,1074,0.5242085661080075
1363,241,941,0.2561105207226355
1364,1225,1673,0.7322175732217573
1365,1020,1365,0.7472527472527473
1366,694,1041,0.6666666666666666
1367,677,1027,0.6592015579357352
1368,638,934,0.683083511777302
1369,553,961,0.5754422476586889
137,599,1324,0.452416918429003
1370,NA,NA,NA
1371,517,1088,0.47518382352941174
1372,657,1188,0.553030303030303
1373,316,1219,0.25922887612797374
1374,641,1282,0.5
1375,885,2079,0.42568542568542567
1376,1282,2420,0.5297520661157025
1377,441,976,0.45184426229508196
1378,500,964,0.5186721991701245
1379,454,882,0.5147392290249433
138,640,1284,0.4984423676012461
1380,1155,1603,0.7205240174672489
1381,507,1016,0.49901574803149606
1382,337,2142,0.1573295985060691
1383,895,1961,0.4563997960224375
1384,787,2091,0.37637494021999046
1385,1174,2608,0.45015337423312884
1386,632,1652,0.38256658595641646
1387,483,1626,0.29704797047970477
1388,2430,1961,1.2391636919938807
1389,1266,1396,0.9068767908309455
139,875,1463,0.5980861244019139
1390,974,1328,0.733433734939759
1391,970,1205,0.8049792531120332
1392,1035,1303,0.7943207981580968
1393,696,2066,0.33688286544046464
1394,1292,2398,0.5387823185988324
1395,432,927,0.46601941747572817
1396,560,1596,0.3508771929824561
1397,512,1570,0.32611464968152865
1398,923,1662,0.5553549939831528
1399,1002,1915,0.5232375979112271
140,614,1055,0.5819905213270142
1400,0,2747,0
1401,700,1909,0.3666841278156103
1402,828,1323,0.6258503401360545
1403,1366,1940,0.7041237113402062
1404,769,2153,0.35717603344170923
1405,3022,3758,0.8041511442256519
1406,682,1062,0.6421845574387948
1407,640,931,0.6874328678839957
1408,782,1566,0.49936143039591313
1409,2595,3414,0.7601054481546573
141,3951,8071,0.4895304175442944
1410,1030,1913,0.538421327757449
1411,1284,1646,0.7800729040097205
1412,1896,2972,0.6379542395693136
1413,1765,2514,0.7020684168655529
1414,1521,2064,0.7369186046511628
1415,1405,1824,0.7702850877192983
1416,4777,6001,0.7960339943342776
1417,1493,1949,0.7660338635197537
1418,1963,2636,0.7446889226100152
1419,1350,1733,0.778995960761685
1420,1703,1930,0.8823834196891192
1421,2299,3726,0.6170155662909286
1423,988,2188,0.4515539305301645
1424,839,1768,0.4745475113122172
1425,3069,5783,0.5306934117240186
1426,897,1647,0.5446265938069217
1427,887,2004,0.4426147704590818
1428,4394,6050,0.7262809917355372
1429,3078,4116,0.7478134110787172
143,645,1420,0.45422535211267606
1430,531,533,0.9962476547842402
1431,1384,2028,0.6824457593688363
1432,1402,1705,0.8222873900293255
1433,537,1732,0.3100461893764434
1434,901,2001,0.45027486256871563
1435,812,2307,0.3519722583441699
1436,963,2024,0.47579051383399207
1437,790,1534,0.5149934810951761
1438,1090,2012,0.5417495029821073
1439,864,1781,0.485120718697361
144,2931,7778,0.3768320905116997
1440,1033,2124,0.486346516007533
1441,1019,2199,0.4633924511141428
1442,1023,2193,0.466484268125855
1443,1094,2332,0.4691252144082333
1444,1075,2168,0.49584870848708484
1445,686,1258,0.5453100158982512
1446,1022,2038,0.5014720314033366
1447,823,1760,0.46761363636363634
1448,2977,5793,0.5138960814776454
1449,1373,3444,0.398664343786295
145,2197,4010,0.5478802992518703
1450,921,2027,0.4543660582141095
1451,327,2053,0.15927910375060886
1452,626,2051,0.3052169673330083
1453,1375,1904,0.7221638655462185
1454,910,2301,0.3954802259887006
1455,1281,2953,0.4337961395191331
1456,280,2516,0.11128775834658187
1457,634,1456,0.43543956043956045
1458,1012,2008,0.5039840637450199
1459,840,1783,0.4711160964666293
146,1209,2274,0.5316622691292876
1460,837,1820,0.45989010989010987
1461,930,2186,0.4254345837145471
1462,1079,2407,0.4482758620689655
1463,1168,2649,0.4409211023027558
1464,603,1537,0.3923227065712427
1465,911,1780,0.5117977528089888
1466,724,1420,0.5098591549295775
1467,1035,1964,0.5269857433808554
1468,1084,1990,0.5447236180904522
1469,1054,2068,0.5096711798839458
147,544,958,0.5678496868475992
1470,853,2319,0.3678309616213885
1471,770,1892,0.4069767441860465
1472,919,1801,0.5102720710716269
1473,894,2218,0.4030658250676285
1474,790,1851,0.42679632631010267
1475,713,1625,0.43876923076923074
1476,784,1903,0.4119810825013137
1477,854,1642,0.5200974421437271
1478,792,1583,0.5003158559696779
1479,1092,1939,0.5631768953068592
148,3402,6021,0.5650224215246636
1480,1461,2572,0.5680404354587869
1481,988,1889,0.5230280571731075
1482,930,1726,0.5388180764774044
1483,1116,2096,0.5324427480916031
1484,698,2101,0.3322227510709186
1485,734,1495,0.4909698996655518
1486,1045,2018,0.5178394449950446
1487,1728,3583,0.4822774211554563
1488,2001,3291,0.6080218778486782
1489,1526,2557,0.5967931169339069
1490,913,1794,0.5089186176142698
1491,963,1876,0.5133262260127932
1492,2387,3657,0.6527208094066175
1493,673,1145,0.5877729257641922
1494,348,1118,0.3112701252236136
1495,1170,1988,0.5885311871227364
1496,766,1435,0.5337979094076655
1497,656,1918,0.3420229405630866
1498,982,2047,0.47972642892037126
1499,1086,2062,0.5266731328806984
15,243,365,0.6657534246575343
150,8807,9784,0.9001430907604252
1500,552,1665,0.33153153153153153
1501,382,1160,0.3293103448275862
1502,751,1134,0.6622574955908289
1503,364,1018,0.3575638506876228
1504,2811,4059,0.6925351071692535
1505,848,2077,0.40828117477130477
1506,4924,6726,0.7320844484091585
1508,433,1445,0.2996539792387543
1509,573,1520,0.3769736842105263
151,1481,1839,0.8053289831430125
1510,1191,1725,0.6904347826086956
1511,907,1456,0.6229395604395604
1512,1046,1545,0.6770226537216828
1513,1919,3287,0.5838150289017341
1514,1007,1509,0.6673293571901922
1515,751,1099,0.6833484986351228
1516,916,1344,0.6815476190476191
1517,319,1779,0.17931422147273748
1518,1209,2352,0.514030612244898
1519,993,2117,0.4690599905526689
152,1376,1700,0.8094117647058824
1520,1199,2641,0.45399469897766
1521,1201,2744,0.43768221574344024
1522,944,2126,0.44402634054562556
1523,1038,1808,0.5741150442477876
1524,910,1743,0.5220883534136547
1525,869,1647,0.5276259866423801
1526,858,1224,0.7009803921568627
1527,1134,1584,0.7159090909090909
1528,1005,1489,0.6749496306245802
1529,717,1339,0.5354742345033607
153,333,415,0.8024096385542169
1530,853,1459,0.5846470185058259
1531,774,1811,0.4273881833241303
1532,2062,2772,0.7438672438672439
1533,866,2080,0.41634615384615387
1534,1045,1654,0.6318016928657799
1535,1274,2036,0.6257367387033399
1536,736,1325,0.5554716981132075
1537,665,1293,0.51430781129157
1538,854,1273,0.6708562450903378
1539,733,1215,0.6032921810699589
154,239,281,0.8505338078291815
1540,920,1407,0.6538734896943852
1541,603,1553,0.38828074694140374
1542,663,1022,0.6487279843444227
1543,698,1121,0.6226583407671722
1544,955,1607,0.5942750466708152
1545,972,1809,0.5373134328358209
1546,885,1896,0.46677215189873417
1547,954,1748,0.545766590389016
1548,953,2219,0.42947273546642634
1549,744,1686,0.4412811387900356
155,423,505,0.8376237623762376
1550,822,1754,0.46864310148232613
1551,512,2335,0.21927194860813704
1552,1097,2212,0.49593128390596747
1553,1004,2032,0.4940944881889764
1554,773,1464,0.5280054644808743
1555,629,1785,0.3523809523809524
1556,737,1358,0.5427098674521355
1557,403,607,0.6639209225700164
1558,383,584,0.6558219178082192
1559,855,1306,0.6546707503828484
156,618,744,0.8306451612903226
1560,1063,1648,0.6450242718446602
1561,1065,2464,0.432224025974026
1562,860,1498,0.5740987983978638
1563,664,1752,0.3789954337899543
1564,873,1664,0.5246394230769231
1565,773,1493,0.5177494976557268
1566,825,1241,0.6647864625302176
1567,795,1235,0.6437246963562753
1568,911,1362,0.6688693098384728
1569,899,1296,0.6936728395061729
157,491,643,0.7636080870917574
1570,738,1096,0.6733576642335767
1571,807,1705,0.47331378299120236
1572,916,1461,0.6269678302532512
1573,1017,1740,0.5844827586206897
1574,4197,6078,0.6905231984205331
1575,2498,3076,0.8120936280884266
1576,2056,2637,0.7796738718240425
1577,741,928,0.7984913793103449
1578,1522,1996,0.7625250501002004
1579,946,1353,0.6991869918699187
158,772,967,0.7983453981385729
1580,965,1351,0.7142857142857143
1581,1032,1647,0.6265938069216758
1582,883,1303,0.6776669224865695
1583,928,1285,0.7221789883268482
1584,1067,1502,0.7103861517976032
1585,2016,3652,0.552026286966046
1586,995,1757,0.566306203756403
1587,802,2078,0.3859480269489894
1588,1942,1815,1.0699724517906337
1589,952,1677,0.56768038163387
159,180,205,0.8780487804878049
1590,629,1992,0.3157630522088353
1591,355,2163,0.16412390198797966
1592,862,1605,0.5370716510903427
1593,980,1592,0.6155778894472361
1594,871,1615,0.5393188854489164
1595,1916,3159,0.6065210509654954
1596,825,1454,0.5674002751031637
1597,840,1279,0.656763096168882
1598,1038,1514,0.6856010568031704
1599,1315,2152,0.6110594795539034
16,268,482,0.5560165975103735
160,652,775,0.8412903225806452
1600,1150,1930,0.5958549222797928
1601,1556,2031,0.7661250615460364
1602,1323,1710,0.7736842105263158
1603,1084,2031,0.533727227966519
1604,1309,1777,0.7366347777152504
1605,1040,1544,0.6735751295336787
1606,247,440,0.5613636363636364
1607,715,1187,0.6023588879528222
1608,980,1452,0.6749311294765841
1609,678,1071,0.6330532212885154
161,849,1040,0.8163461538461538
1610,697,1108,0.6290613718411552
1611,481,841,0.5719381688466112
1612,800,1684,0.4750593824228028
1613,938,1764,0.5317460317460317
1614,436,818,0.5330073349633252
1615,733,1878,0.3903088391906283
1616,792,1882,0.4208289054197662
1617,809,1668,0.48501199040767384
1618,1058,1983,0.5335350479072113
1619,849,1676,0.5065632458233891
162,338,773,0.4372574385510996
1620,843,1542,0.546692607003891
1621,468,803,0.5828144458281445
1622,962,1550,0.6206451612903225
1623,1067,1799,0.5931072818232351
1624,934,1806,0.5171650055370985
1625,974,1915,0.5086161879895561
1626,579,1592,0.3636934673366834
1627,834,1444,0.5775623268698061
1628,385,1389,0.27717782577393807
1629,0,218,0
163,449,506,0.8873517786561265
1630,618,999,0.6186186186186187
1631,212,323,0.6563467492260062
1632,0,597,0
1633,633,1159,0.546160483175151
1634,0,245,0
1635,463,935,0.49518716577540106
1636,223,837,0.26642771804062126
1637,441,735,0.6
1638,0,688,0
1639,0,293,0
164,610,381,1.601049868766404
1642,905,1404,0.6445868945868946
1643,294,561,0.5240641711229946
1644,221,341,0.6480938416422287
1645,257,402,0.6393034825870647
1646,140,240,0.5833333333333334
1647,176,311,0.5659163987138264
1648,335,550,0.6090909090909091
1649,224,485,0.4618556701030928
165,620,877,0.7069555302166477
1650,160,275,0.5818181818181818
1651,490,764,0.6413612565445026
1652,457,688,0.6642441860465116
1653,243,991,0.24520686175580222
1654,327,622,0.5257234726688103
1655,377,688,0.5479651162790697
1656,433,792,0.5467171717171717
1657,769,1106,0.6952983725135624
1658,678,989,0.6855409504550051
1659,382,1372,0.2784256559766764
166,483,563,0.8579040852575488
1660,435,852,0.5105633802816901
1661,882,811,1.0875462392108508
1662,396,665,0.5954887218045113
1663,695,748,0.929144385026738
1664,288,566,0.508833922261484
1665,197,373,0.5281501340482574
1666,175,376,0.4654255319148936
1667,394,628,0.6273885350318471
1668,NA,NA,NA
1669,201,352,0.5710227272727273
167,366,427,0.8571428571428571
1670,304,619,0.4911147011308562
1671,363,747,0.4859437751004016
1672,0,705,0
1673,343,1214,0.2825370675453048
1674,0,1029,0
1675,611,1067,0.5726335520149953
1676,508,1005,0.5054726368159204
1677,155,289,0.5363321799307958
1678,275,527,0.5218216318785579
1679,458,857,0.5344224037339557
168,624,747,0.8353413654618473
1680,690,1198,0.5759599332220368
1681,579,960,0.603125
1682,722,1181,0.611346316680779
1683,217,351,0.6182336182336182
1684,343,574,0.5975609756097561
1685,533,1050,0.5076190476190476
1686,1038,1501,0.6915389740173218
1687,1235,1674,0.7377538829151732
1688,238,364,0.6538461538461539
1689,221,363,0.6088154269972452
169,549,679,0.8085419734904271
1690,440,722,0.6094182825484764
1691,580,976,0.5942622950819673
1692,284,515,0.5514563106796116
1693,191,349,0.5472779369627507
1694,314,539,0.5825602968460112
1695,300,484,0.6198347107438017
1696,185,302,0.6125827814569537
1697,620,1039,0.5967276227141483
1698,351,612,0.5735294117647058
1699,105,196,0.5357142857142857
17,229,385,0.5948051948051948
170,578,720,0.8027777777777778
1700,0,508,0
1701,651,1204,0.5406976744186046
1702,435,483,0.9006211180124224
1703,0,3731,0
1704,812,1709,0.4751316559391457
1705,5072,9232,0.5493934142114385
1707,2597,6211,0.4181291257446466
1709,239,419,0.5704057279236276
171,1124,1383,0.8127259580621836
1710,509,898,0.566815144766147
1711,241,363,0.6639118457300276
1712,239,757,0.3157199471598415
1713,332,595,0.5579831932773109
1714,146,541,0.2698706099815157
1715,182,504,0.3611111111111111
1716,158,428,0.3691588785046729
1717,0,373,0
1718,135,203,0.6650246305418719
1719,311,487,0.6386036960985626
172,1763,3187,0.5531848133040477
1720,320,897,0.35674470457079155
1721,326,551,0.5916515426497277
1722,302,270,1.1185185185185185
1723,202,330,0.6121212121212121
1724,968,1218,0.7947454844006568
1725,601,727,0.8266850068775791
1726,286,353,0.8101983002832861
1727,313,374,0.8368983957219251
1728,294,368,0.7989130434782609
173,591,1111,0.531953195319532
1730,1574,2396,0.6569282136894825
1731,618,1053,0.5868945868945868
1732,1318,2163,0.6093388811835414
1733,416,1340,0.31044776119402984
1734,1338,2253,0.5938748335552596
1735,449,761,0.5900131406044679
1736,389,670,0.5805970149253732
1737,795,1890,0.42063492063492064
1738,1807,2880,0.6274305555555556
1739,1554,2380,0.6529411764705882
174,998,2825,0.35327433628318583
1740,387,669,0.57847533632287
1741,175,259,0.6756756756756757
1742,500,782,0.639386189258312
1743,1186,1984,0.5977822580645161
1744,621,1044,0.5948275862068966
1745,788,1220,0.6459016393442623
1746,573,935,0.6128342245989304
1749,304,523,0.5812619502868069
175,919,1944,0.4727366255144033
1751,114,249,0.4578313253012048
1752,3660,7364,0.49701249321021185
1753,663,1011,0.655786350148368
1754,1142,2257,0.5059813912272929
1755,1777,3849,0.46167835801506885
1756,119,210,0.5666666666666667
1757,103,191,0.5392670157068062
1758,626,1022,0.6125244618395304
1759,405,1429,0.2834149755073478
176,1098,2107,0.5211200759373517
1761,982,2432,0.4037828947368421
1762,721,1465,0.49215017064846417
1763,2009,2796,0.7185264663805436
1764,1017,1500,0.678
1765,1030,1391,0.7404744787922358
1766,984,1448,0.6795580110497238
1767,1062,1510,0.7033112582781457
1768,1526,2011,0.7588264545002487
1769,2198,3057,0.7190055610075237
177,741,1350,0.5488888888888889
1770,2827,4117,0.6866650473645859
1771,557,970,0.5742268041237113
1772,372,1411,0.26364280652019845
1773,707,1270,0.5566929133858268
1774,730,1359,0.5371596762325239
1775,782,1256,0.6226114649681529
1776,1473,2204,0.6683303085299456
1777,1938,2324,0.8339070567986231
1778,1126,1727,0.6519976838448176
1779,964,1375,0.7010909090909091
178,645,1255,0.5139442231075697
1780,978,1462,0.6689466484268126
1781,1144,1714,0.6674445740956826
1782,1066,1501,0.7101932045303131
1783,1132,1740,0.6505747126436782
1784,852,1445,0.5896193771626298
1785,347,542,0.6402214022140221
1786,1402,2001,0.7006496751624188
1787,1244,1773,0.7016356457980824
1788,1625,2275,0.7142857142857143
1789,1492,1866,0.7995712754555199
179,642,1339,0.479462285287528
1790,828,1629,0.5082872928176796
1791,1198,1507,0.7949568679495687
1792,1072,1446,0.7413554633471646
1793,1205,1586,0.7597730138713745
1794,1413,1957,0.7220235053653551
1795,304,477,0.6373165618448637
1796,347,547,0.6343692870201096
1797,1000,1557,0.6422607578676943
1798,161,271,0.5940959409594095
1799,199,348,0.5718390804597702
180,573,1168,0.4905821917808219
1800,462,793,0.5825977301387137
1801,362,512,0.70703125
1802,0,587,0
1803,769,1235,0.622672064777328
1804,940,1544,0.6088082901554405
1805,1045,1497,0.698062792251169
1806,674,1101,0.6121707538601272
1807,871,1255,0.6940239043824701
1808,1094,1517,0.7211601845748187
1809,1032,1712,0.602803738317757
181,371,1472,0.25203804347826086
1810,793,1671,0.47456612806702575
1811,747,1543,0.48412184057031754
1812,667,1468,0.4543596730245232
1813,743,1560,0.47628205128205126
1814,963,1434,0.6715481171548117
